geography_type,geography_id,geography_name,households_from,population_from,jobs_total_from,jobs_retail_group_from,jobs_industrial_group_from,jobs_other_group_from,jobs_all_from,jobs_retail_from,jobs_food_from,jobs_manufacturing_from,jobs_wholesale_from,jobs_office_from,jobs_government_education_from,jobs_health_from,jobs_other_from,jobs_agriculture_from,jobs_mining_from,jobs_construction_from,jobs_home_based_from,hh_job_total_from,hh_size_from,households_to,population_to,jobs_total_to,jobs_retail_group_to,jobs_industrial_group_to,jobs_other_group_to,jobs_all_to,jobs_retail_to,jobs_food_to,jobs_manufacturing_to,jobs_wholesale_to,jobs_office_to,jobs_government_education_to,jobs_health_to,jobs_other_to,jobs_agriculture_to,jobs_mining_to,jobs_construction_to,jobs_home_based_to,hh_job_total_to,hh_size_to,from_year,to_year
city,0_Alpine,Alpine,75.33333333333333,253.68472271353508,0.0,0.0,0.0,0.0,9.774750955741505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0159066808059385,0.0,2.7528282627474936,5.006016012188071,75.33333333333333,3.367496319206218,132.0,412.4635287978031,0.0,0.0,0.0,0.0,16.925520935083185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92637195679963,9.999148978283555,132.0,3.12472370301366,2023,2065
city,0_American Fork,American Fork,395.66666666666663,1205.9100337037466,1719.0,120.0,378.0,1221.0,2077.4246659879336,111.0,9.0,141.0,237.0,401.0,158.0,85.0,577.0,15.119300106044538,0.0,317.2740826185108,26.031283263377972,2114.6666666666665,3.0477928400263186,1445.3333333333335,4470.572510130659,1768.6666666666663,133.0,384.0,1251.6666666666663,2052.0446895434116,122.66666666666669,10.333333333333334,144.33333333333334,239.66666666666663,402.0,166.0,95.66666666666669,588.0,6.074295543785307,0.0,168.646260196174,108.65746713678564,3214.0,3.0931082865295147,2023,2065
city,0_Balance of BOX ELDER,Balance of BOX ELDER,52.0,172.0,24.0,0.0,24.0,0.0,29.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,76.0,3.3076923076923075,100.0,254.0,30.0,0.0,30.0,0.0,39.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,130.0,2.54,2023,2065
city,0_Benjamin,Benjamin,315.0,1000.690880428193,107.0,14.0,5.0,88.0,250.06393207897503,14.0,0.0,4.0,1.0,8.0,37.0,2.0,41.0,78.6203605514316,0.0,45.42071068122877,19.02286084631467,422.0,3.1767964458037876,9123.666666666666,27017.703361264463,884.6666666666669,168.0,107.0,609.6666666666667,2171.1168870805454,136.66666666666669,31.33333333333333,105.66666666666666,1.3333333333333333,9.0,299.66666666666663,50.99999999999999,250.00000000000003,1.0123825906308843,0.0,598.162603580982,687.2752342422657,10008.333333333332,2.961276901968996,2023,2065
city,0_Box Elder County North,Box Elder County North,236.0,736.0,255.0,18.0,192.0,45.0,504.0,18.0,0.0,0.0,192.0,35.0,0.0,2.0,8.0,213.0,0.0,22.0,14.0,491.0,3.1186440677966103,464.0,1087.0,278.0,23.0,197.0,58.0,556.0,23.0,0.0,0.0,197.0,47.0,0.0,2.0,9.0,206.0,0.0,44.0,28.0,742.0,2.3426724137931036,2023,2065
city,0_Box Elder County South,Box Elder County South,638.0,1776.0,294.0,49.0,151.0,94.0,606.0,49.0,0.0,30.0,121.0,45.0,13.0,2.0,34.0,152.0,34.0,91.0,35.0,932.0,2.7836990595611284,1859.0,4423.0,354.0,64.0,164.0,126.0,790.0,64.0,0.0,39.0,125.0,60.0,18.0,4.0,44.0,147.0,47.0,167.0,75.0,2213.0,2.3792361484669176,2023,2065
city,0_Brigham City,Brigham City,2.0,6.0,328.0,0.0,299.0,29.0,385.0,0.0,0.0,106.0,193.0,0.0,0.0,0.0,29.0,49.0,0.0,8.0,0.0,330.0,3.0,4.0,8.0,372.0,0.0,334.0,38.0,434.0,0.0,0.0,135.0,199.0,0.0,0.0,0.0,38.0,47.0,0.0,15.0,0.0,376.0,2.0,2023,2065
city,0_Camp Williams,Camp Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023,2065
city,0_Copperton,Copperton,307.3333333333333,902.1972350936986,165.0,36.0,99.0,30.0,204.33911877611533,0.0,36.0,73.0,26.0,1.0,12.0,10.0,7.0,0.0,0.0,19.3407844824552,19.99833429366013,472.3333333333333,2.935565840868868,396.6666666666667,965.224880489117,185.66666666666663,17.666666666666668,135.0,33.0,260.2260118689906,0.0,17.666666666666668,109.66666666666669,25.33333333333333,0.0,21.666666666666668,4.333333333333333,7.0,0.0,0.0,30.22922956687455,44.3301156354494,582.3333333333333,2.4333400348465135,2023,2065
city,0_Cottonwood Heights,Cottonwood Heights,82.66666666666667,183.3103050174332,0.0,0.0,0.0,0.0,8.384562085517283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.384978512102251,4.999583573415032,82.66666666666667,2.2174633671463693,228.0,487.18417232780894,0.0,0.0,0.0,0.0,37.16089992816909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.829459632544536,25.33144029562456,228.0,2.136772685648285,2023,2065
