year,geography_type,geography_id,geography_name,taz_id,CO_TAZID,CO_FIPS,CO_NAME,CITY_FIPS,CITY_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,HH + Job Intensity,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
2023,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,10628.0,30468.0,2.867,15022.0,3216.0,4089.0,7717.0,18224.0,37354.4,1944.0,1272.0,2930.0,1159.0,891.0,2113.0,1227.0,3486.0,979.0,52.0,1557.0,614.0
2024,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,10797.0,30661.0,2.84,14777.0,3147.0,3910.0,7720.0,18228.0,37662.6,1971.0,1176.0,2731.0,1179.0,930.0,2248.0,1282.0,3260.0,973.0,57.0,1819.0,602.0
2025,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,10984.0,30893.0,2.813,15026.0,3160.0,3998.0,7868.0,18574.0,38345.2,1981.0,1179.0,2774.0,1224.0,936.0,2289.0,1335.0,3308.0,973.0,58.0,1861.0,656.0
2026,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,11173.0,31173.0,2.79,15169.0,3174.0,4062.0,7933.0,18763.0,38874.4,1981.0,1193.0,2803.0,1259.0,926.0,2302.0,1370.0,3335.0,972.0,59.0,1897.0,666.0
2027,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,11394.0,31395.0,2.755,15357.0,3199.0,4116.0,8042.0,19016.0,39525.2,2002.0,1197.0,2825.0,1291.0,918.0,2334.0,1407.0,3383.0,971.0,61.0,1946.0,681.0
2028,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,11597.0,31618.0,2.726,15532.0,3221.0,4163.0,8148.0,19260.0,40134.6,2017.0,1204.0,2847.0,1316.0,917.0,2359.0,1435.0,3437.0,969.0,59.0,2005.0,695.0
2029,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,11803.0,31846.0,2.698,15712.0,3242.0,4229.0,8241.0,19501.0,40746.4,2036.0,1206.0,2888.0,1341.0,922.0,2377.0,1456.0,3486.0,963.0,56.0,2060.0,710.0
2030,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,12036.0,32081.0,2.665,15925.0,3265.0,4313.0,8347.0,19771.0,41435.8,2063.0,1202.0,2947.0,1366.0,928.0,2398.0,1485.0,3536.0,960.0,55.0,2104.0,727.0
2031,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,12250.0,32387.0,2.644,16084.0,3286.0,4386.0,8412.0,19965.0,42015.0,2094.0,1192.0,2998.0,1388.0,932.0,2404.0,1506.0,3570.0,957.0,55.0,2127.0,742.0
2032,large_district,1,Box Elder - WFRC,,,,,,,1,Box Elder - WFRC,,,,,12490.0,32641.0,2.613,16258.0,3298.0,4451.0,8509.0,20188.0,42670.0,2114.0,1184.0,3044.0,1407.0,935.0,2421.0,1532.0,3621.0,957.0,59.0,2155.0,759.0
